x position,y position,Simulation Output (°C),Analytical Output (°C),Absolute error (%),Relative error (%)
-0.9310344827586207,-0.9310344827586207,-0.46461263594229385,-0.8916667635889135,0.43,91.92
-0.9310344827586207,-0.8620689655172413,-0.27960853864816515,-0.7996700147881085,0.52,186.0
-0.9310344827586207,-0.7931034482758621,-0.1921040364514817,-0.7170670213024896,0.52,273.27
-0.9310344827586207,-0.7241379310344828,-0.13508990038197777,-0.6428874424980991,0.51,375.9
-0.9310344827586207,-0.6551724137931034,-0.10065491414473211,-0.5762598879266458,0.48,472.51
-0.9310344827586207,-0.5862068965517241,-0.07560972386971154,-0.5164016810674157,0.44,582.98
-0.9310344827586207,-0.5172413793103449,-0.057747478270294805,-0.4626096651952052,0.4,701.09
-0.9310344827586207,-0.4482758620689655,-0.046235365288692695,-0.41425194337044074,0.37,795.96
-0.9310344827586207,-0.3793103448275862,-0.03468232371530155,-0.3707604555208155,0.34,969.02
-0.9310344827586207,-0.3103448275862069,-0.02816422002063712,-0.3316243054171382,0.3,1077.47
-0.9310344827586207,-0.2413793103448276,-0.022854913856804722,-0.2963837591551062,0.27,1196.81
-0.9310344827586207,-0.1724137931034483,-0.01786243502649363,-0.2646248446429349,0.25,1381.46
-0.9310344827586207,-0.10344827586206896,-0.01411860752667472,-0.2359744886548112,0.22,1571.37
-0.9310344827586207,-0.034482758620689655,-0.011407795787092495,-0.21009613432494234,0.2,1741.69
-0.9310344827586207,0.034482758620689655,-0.008823694649464042,-0.18668578760073312,0.18,2015.73
-0.9310344827586207,0.10344827586206896,-0.007684386750667595,-0.16546844621261697,0.16,2053.31
-0.9310344827586207,0.1724137931034483,-0.006170829670608968,-0.1461948692115114,0.14,2269.13
-0.9310344827586207,0.2413793103448276,-0.004275332555323118,-0.12863864912552336,0.12,2908.86
-0.9310344827586207,0.3103448275862069,-0.0039449659370652,-0.11259355234241597,0.11,2754.11
-0.9310344827586207,0.3793103448275862,-0.0028985942651218034,-0.09787109647520247,0.09,3276.5
-0.9310344827586207,0.4482758620689655,-0.002638366833919896,-0.08429833625208608,0.08,3095.1
-0.9310344827586207,0.5172413793103449,-0.0022510986703903006,-0.07171583192150704,0.07,3085.81
-0.9310344827586207,0.5862068965517241,-0.001598001284555104,-0.059975776307070176,0.06,3653.17
-0.9310344827586207,0.6551724137931034,-0.0012441424810245483,-0.04894025851079349,0.05,3833.65
-0.9310344827586207,0.7241379310344828,-0.0007987900193935082,-0.03847964386833099,0.04,4717.24
-0.9310344827586207,0.7931034482758621,-0.0002798211897195895,-0.028471051125439625,0.03,10074.73
-0.9310344827586207,0.8620689655172413,-0.00048803447818575763,-0.018796908947021903,0.02,3751.55
-0.9310344827586207,0.9310344827586207,-0.00015137078637252497,-0.009343574801998964,0.01,6072.64
-0.8620689655172413,-0.9310344827586207,-0.6175738252063416,-0.8759549757631948,0.26,41.84
-0.8620689655172413,-0.8620689655172413,-0.4260606991601841,-0.7855792735874726,0.36,84.38
-0.8620689655172413,-0.7931034482758621,-0.3055198571366125,-0.7044318022323315,0.4,130.57
-0.8620689655172413,-0.7241379310344828,-0.22259070879983528,-0.6315593191398916,0.41,183.73
-0.8620689655172413,-0.6551724137931034,-0.16616594264214643,-0.5661057883669249,0.4,240.69
-0.8620689655172413,-0.5862068965517241,-0.1276231769498665,-0.5073023246967477,0.38,297.5
-0.8620689655172413,-0.5172413793103449,-0.09948473658835097,-0.45445816151414525,0.35,356.81
-0.8620689655172413,-0.4482758620689655,-0.07687161209045493,-0.4069525363426056,0.33,429.39
-0.8620689655172413,-0.3793103448275862,-0.061720217450362325,-0.3642273987229337,0.3,490.13
-0.8620689655172413,-0.3103448275862069,-0.04817848787272956,-0.3257808547724223,0.28,576.2
-0.8620689655172413,-0.2413793103448276,-0.03817196924929229,-0.29116127141754505,0.25,662.76
-0.8620689655172413,-0.1724137931034483,-0.030020159266985248,-0.2599619710423659,0.23,765.96
-0.8620689655172413,-0.10344827586206896,-0.02490112414354214,-0.23181645423048883,0.21,830.95
-0.8620689655172413,-0.034482758620689655,-0.01854293747545973,-0.2063940944819063,0.19,1013.06
-0.8620689655172413,0.034482758620689655,-0.016052572255819648,-0.18339625433041806,0.17,1042.47
-0.8620689655172413,0.10344827586206896,-0.012614464975492479,-0.1625527772374946,0.15,1188.62
-0.8620689655172413,0.1724137931034483,-0.010964529293729163,-0.14361881405272683,0.13,1209.85
-0.8620689655172413,0.2413793103448276,-0.008046602794005294,-0.12637194676116442,0.12,1470.5
-0.8620689655172413,0.3103448275862069,-0.006664985731041388,-0.11060957573009092,0.1,1559.56
-0.8620689655172413,0.3793103448275862,-0.0050997732601190515,-0.0961465397631192,0.09,1785.31
-0.8620689655172413,0.4482758620689655,-0.004544971355049053,-0.08281294100428868,0.08,1722.08
-0.8620689655172413,0.5172413793103449,-0.003495494226698282,-0.0704521491412267,0.07,1915.51
-0.8620689655172413,0.5862068965517241,-0.002846776301281437,-0.05891896146266953,0.06,1969.67
-0.8620689655172413,0.6551724137931034,-0.0016992837819030382,-0.048077897156465925,0.05,2729.3
-0.8620689655172413,0.7241379310344828,-0.0015888202864872078,-0.03780160581111441,0.04,2279.22
-0.8620689655172413,0.7931034482758621,-0.0010828217555342132,-0.027969371425438684,0.03,2483.01
-0.8620689655172413,0.8620689655172413,-0.0009702656056888549,-0.01846569435294389,0.02,1803.16
-0.8620689655172413,0.9310344827586207,-0.0002658424551882384,-0.009178934522897546,0.01,3352.77
-0.7931034482758621,-0.9310344827586207,-0.6740912336132692,-0.8499734167399249,0.18,26.09
-0.7931034482758621,-0.8620689655172413,-0.5042255461218978,-0.7622783336660031,0.26,51.18
-0.7931034482758621,-0.7931034482758621,-0.38240613409475993,-0.6835377643491383,0.3,78.75
-0.7931034482758621,-0.7241379310344828,-0.28518682481604646,-0.612826740204961,0.33,114.89
-0.7931034482758621,-0.6551724137931034,-0.2205188887700805,-0.5493146160340604,0.33,149.1
-0.7931034482758621,-0.5862068965517241,-0.17077618554249946,-0.4922553123999492,0.32,188.25
-0.7931034482758621,-0.5172413793103449,-0.13315132414639733,-0.4409785514043917,0.31,231.19
-0.7931034482758621,-0.4482758620689655,-0.10483151389350658,-0.39488198290640564,0.29,276.68
-0.7931034482758621,-0.3793103448275862,-0.08368260298696342,-0.3534241086913119,0.27,322.34
-0.7931034482758621,-0.3103448275862069,-0.06636344469627833,-0.31611792146977585,0.25,376.34
-0.7931034482758621,-0.2413793103448276,-0.05312342286855411,-0.28252518398390236,0.23,431.83
-0.7931034482758621,-0.1724137931034483,-0.042172099874609646,-0.252251281016822,0.21,498.15
-0.7931034482758621,-0.10344827586206896,-0.032914335764219094,-0.22494058383211935,0.19,583.41
-0.7931034482758621,-0.034482758620689655,-0.027755481936315784,-0.20027227258899008,0.17,621.56
-0.7931034482758621,0.034482758620689655,-0.02154508597391781,-0.17795656765887324,0.16,725.97
-0.7931034482758621,0.10344827586206896,-0.018245178930751567,-0.15773132557268418,0.14,764.51
-0.7931034482758621,0.1724137931034483,-0.014000700384762638,-0.139358959611108,0.13,895.37
-0.7931034482758621,0.2413793103448276,-0.010874280130569371,-0.1226236488640036,0.11,1027.65
-0.7931034482758621,0.3103448275862069,-0.008926984809389136,-0.10732880297363007,0.1,1102.3
-0.7931034482758621,0.3793103448275862,-0.007463035371847953,-0.09329475277993299,0.09,1150.09
-0.7931034482758621,0.4482758620689655,-0.005790277718821869,-0.08035663973981003,0.07,1287.79
-0.7931034482758621,0.5172413793103449,-0.004799181692369333,-0.06836247932727973,0.06,1324.46
-0.7931034482758621,0.5862068965517241,-0.0036918351776415543,-0.057171375665239284,0.05,1448.59
-0.7931034482758621,0.6551724137931034,-0.0023085721819121373,-0.04665186641601938,0.04,1920.81
-0.7931034482758621,0.7241379310344828,-0.002276969794272688,-0.036680378488100296,0.03,1510.93
-0.7931034482758621,0.7931034482758621,-0.0015469535117623341,-0.027139776418114644,0.03,1654.4
-0.7931034482758621,0.8620689655172413,-0.001139009796957327,-0.01791798637592296,0.02,1473.12
-0.7931034482758621,0.9310344827586207,-0.0007442362615784076,-0.00890667962889502,0.01,1096.75
-0.7241379310344828,-0.9310344827586207,-0.6852301776500432,-0.8140266965434853,0.13,18.8
-0.7241379310344828,-0.8620689655172413,-0.5390373652419391,-0.7300403772400266,0.19,35.43
-0.7241379310344828,-0.7931034482758621,-0.4221257498010392,-0.6546298711434891,0.23,55.08
-0.7241379310344828,-0.7241379310344828,-0.3277094081012838,-0.5869093280539589,0.26,79.09
-0.7241379310344828,-0.6551724137931034,-0.2558311471674149,-0.5260832320713393,0.27,105.64
-0.7241379310344828,-0.5862068965517241,-0.2015174894257094,-0.4714370566385855,0.27,133.94
-0.7241379310344828,-0.5172413793103449,-0.16025834057087157,-0.4223288709699561,0.26,163.53
-0.7241379310344828,-0.4482758620689655,-0.1279069480730239,-0.37818179926466816,0.25,195.67
-0.7241379310344828,-0.3793103448275862,-0.09973672481761717,-0.33847724412402863,0.24,239.37
-0.7241379310344828,-0.3103448275862069,-0.08105928191951234,-0.30274879456726816,0.22,273.49
-0.7241379310344828,-0.2413793103448276,-0.06554169173468807,-0.27057674708328755,0.21,312.83
-0.7241379310344828,-0.1724137931034483,-0.05250540560992902,-0.24158317535690146,0.19,360.11
-0.7241379310344828,-0.10344827586206896,-0.041626712649256305,-0.2154274907534553,0.17,417.52
-0.7241379310344828,-0.034482758620689655,-0.03223242596589519,-0.19180244141065297,0.16,495.06
-0.7241379310344828,0.034482758620689655,-0.0259108634510558,-0.1704305029387696,0.14,557.76
-0.7241379310344828,0.10344827586206896,-0.021479276190344863,-0.15106061833066028,0.13,603.29
-0.7241379310344828,0.1724137931034483,-0.017329738704778348,-0.13346524878516078,0.12,670.15
-0.7241379310344828,0.2413793103448276,-0.012888602413214633,-0.11743770079978368,0.1,811.17
-0.7241379310344828,0.3103448275862069,-0.010755928715509894,-0.10278969813396377,0.09,855.66
-0.7241379310344828,0.3793103448275862,-0.008277693850843124,-0.089349170120608,0.08,979.4
-0.7241379310344828,0.4482758620689655,-0.006722410047032867,-0.07695823034515846,0.07,1044.8
-0.7241379310344828,0.5172413793103449,-0.005250209146656515,-0.0654713219476313,0.06,1147.02
-0.7241379310344828,0.5862068965517241,-0.004431066101161171,-0.05475350776042135,0.05,1135.67
-0.7241379310344828,0.6551724137931034,-0.0038905106259060846,-0.04467888519605324,0.04,1048.41
-0.7241379310344828,0.7241379310344828,-0.002352962029165997,-0.035129107264503086,0.03,1392.97
-0.7241379310344828,0.7931034482758621,-0.002322794668943212,-0.025991992346422427,0.02,1019.0
-0.7241379310344828,0.8620689655172413,-0.0012726562082279213,-0.01716020639121551,0.02,1248.38
-0.7241379310344828,0.9310344827586207,-0.0008376366339264831,-0.008530002059698543,0.01,918.34
-0.6551724137931034,-0.9310344827586207,-0.6712664901599587,-0.7685362576017796,0.1,14.49
-0.6551724137931034,-0.8620689655172413,-0.5416104500795413,-0.689243364873193,0.15,27.26
-0.6551724137931034,-0.7931034482758621,-0.4340409036174993,-0.6180470412324818,0.18,42.39
-0.6551724137931034,-0.7241379310344828,-0.34763454954904593,-0.5541109406478404,0.21,59.39
-0.6551724137931034,-0.6551724137931034,-0.2743492568456301,-0.4966840032150681,0.22,81.04
-0.6551724137931034,-0.5862068965517241,-0.21833111801848332,-0.4450916324271458,0.23,103.86
-0.6551724137931034,-0.5172413793103449,-0.17625442310928552,-0.39872777066236686,0.22,126.22
-0.6551724137931034,-0.4482758620689655,-0.14155606060486742,-0.357047779801469,0.22,152.23
-0.6551724137931034,-0.3793103448275862,-0.1133459495604269,-0.31956204334208677,0.21,181.94
