x position,y position,Simulation Output (V),Analytical Output (V),Absolure error (%),Relative error (%)
-0.9591836734693877,-0.2653061224489796,-0.6356121396497022,-0.679937781026614,0.04,6.97
-0.9591836734693877,-0.22448979591836735,-0.6935258186420907,-0.7374648318302748,0.04,6.34
-0.9591836734693877,-0.1836734693877551,-0.7415419011918509,-0.7854040408333267,0.04,5.91
-0.9591836734693877,-0.14285714285714285,-0.7786288398530636,-0.8237554080357673,0.05,5.8
-0.9591836734693877,-0.10204081632653061,-0.805695288941326,-0.8525189334375985,0.05,5.81
-0.9591836734693877,-0.061224489795918366,-0.8256777462961592,-0.8716946170388188,0.05,5.57
-0.9591836734693877,-0.02040816326530612,-0.8329491204900472,-0.8812824588394291,0.05,5.8
-0.9591836734693877,0.02040816326530612,-0.833122231396856,-0.8812824588394291,0.05,5.78
-0.9591836734693877,0.061224489795918366,-0.8239496251571078,-0.8716946170388188,0.05,5.79
-0.9591836734693877,0.10204081632653061,-0.8058346431176455,-0.8525189334375985,0.05,5.79
-0.9591836734693877,0.14285714285714285,-0.779054456842487,-0.8237554080357673,0.04,5.74
-0.9591836734693877,0.1836734693877551,-0.7404597540161632,-0.7854040408333267,0.04,6.07
-0.9591836734693877,0.22448979591836735,-0.6943257651769352,-0.7374648318302748,0.04,6.21
-0.9591836734693877,0.2653061224489796,-0.6381546213201521,-0.679937781026614,0.04,6.55
-0.9183673469387755,-0.3877551020408163,-0.3375665998325708,-0.3603090549005939,0.02,6.74
-0.9183673469387755,-0.3469387755102041,-0.4202413953154805,-0.44292769169308704,0.02,5.4
-0.9183673469387755,-0.30612244897959184,-0.48955529003941145,-0.5163664799530807,0.03,5.48
-0.9183673469387755,-0.2653061224489796,-0.5511817490043827,-0.5806254196805752,0.03,5.34
-0.9183673469387755,-0.22448979591836735,-0.6022822884350135,-0.6357045108755707,0.03,5.55
-0.9183673469387755,-0.1836734693877551,-0.6450382182616382,-0.681603753538067,0.04,5.67
-0.9183673469387755,-0.14285714285714285,-0.677538867441293,-0.7183231476680632,0.04,6.02
-0.9183673469387755,-0.10204081632653061,-0.7049085617349229,-0.745862693265561,0.04,5.81
-0.9183673469387755,-0.061224489795918366,-0.7218870519847432,-0.7642223903305596,0.04,5.86
-0.9183673469387755,-0.02040816326530612,-0.7303023823920791,-0.7734022388630589,0.04,5.9
-0.9183673469387755,0.02040816326530612,-0.7307267692259447,-0.7734022388630589,0.04,5.84
-0.9183673469387755,0.061224489795918366,-0.7194849730748244,-0.7642223903305596,0.04,6.22
-0.9183673469387755,0.10204081632653061,-0.7045359515213343,-0.745862693265561,0.04,5.87
-0.9183673469387755,0.14285714285714285,-0.6778931320712243,-0.7183231476680632,0.04,5.96
-0.9183673469387755,0.1836734693877551,-0.6435333881649159,-0.681603753538067,0.04,5.92
-0.9183673469387755,0.22448979591836735,-0.601384150100578,-0.6357045108755707,0.03,5.71
-0.9183673469387755,0.2653061224489796,-0.5505878046891579,-0.5806254196805752,0.03,5.46
-0.9183673469387755,0.30612244897959184,-0.48754521793651107,-0.5163664799530807,0.03,5.91
-0.9183673469387755,0.3469387755102041,-0.41785539575950914,-0.44292769169308704,0.03,6.0
-0.9183673469387755,0.3877551020408163,-0.3382884487629978,-0.3603090549005939,0.02,6.51
-0.8775510204081632,-0.46938775510204084,-0.0883793858388411,-0.0957594199695703,0.01,8.35
-0.8775510204081632,-0.42857142857142855,-0.1806068676145517,-0.19224982787784067,0.01,6.45
-0.8775510204081632,-0.3877551020408163,-0.26623981016231957,-0.27996838052172196,0.01,5.16
-0.8775510204081632,-0.3469387755102041,-0.3385511963398128,-0.3589150779012139,0.02,6.02
-0.8775510204081632,-0.30612244897959184,-0.40640247817186426,-0.4290899200163192,0.02,5.58
-0.8775510204081632,-0.2653061224489796,-0.4620711391067546,-0.490492906867037,0.03,6.15
-0.8775510204081632,-0.22448979591836735,-0.5136517813717993,-0.5431240384533653,0.03,5.74
-0.8775510204081632,-0.1836734693877551,-0.551780337732593,-0.5869833147753063,0.04,6.38
-0.8775510204081632,-0.14285714285714285,-0.5892402432313957,-0.6220707358328585,0.03,5.57
-0.8775510204081632,-0.10204081632653061,-0.6105359868191481,-0.6483863016260234,0.04,6.2
-0.8775510204081632,-0.061224489795918366,-0.6284143571186493,-0.6659300121547995,0.04,5.97
-0.8775510204081632,-0.02040816326530612,-0.6397139271751704,-0.6747018674191875,0.03,5.47
-0.8775510204081632,0.02040816326530612,-0.6366255358364031,-0.6747018674191875,0.04,5.98
-0.8775510204081632,0.061224489795918366,-0.6298178700980549,-0.6659300121547995,0.04,5.73
-0.8775510204081632,0.10204081632653061,-0.614380404266787,-0.6483863016260234,0.03,5.53
-0.8775510204081632,0.14285714285714285,-0.586190352663895,-0.6220707358328585,0.04,6.12
-0.8775510204081632,0.1836734693877551,-0.5549092496596776,-0.5869833147753063,0.03,5.78
-0.8775510204081632,0.22448979591836735,-0.5155877388902269,-0.5431240384533653,0.03,5.34
-0.8775510204081632,0.2653061224489796,-0.46621591689164477,-0.490492906867037,0.02,5.21
-0.8775510204081632,0.30612244897959184,-0.4058189512734424,-0.4290899200163192,0.02,5.73
-0.8775510204081632,0.3469387755102041,-0.3399791464691553,-0.3589150779012139,0.02,5.57
-0.8775510204081632,0.3877551020408163,-0.2653124195171264,-0.27996838052172196,0.01,5.52
-0.8775510204081632,0.42857142857142855,-0.18181104045156776,-0.19224982787784067,0.01,5.74
-0.8775510204081632,0.46938775510204084,-0.08920223914813785,-0.0957594199695703,0.01,7.35
-0.8367346938775511,-0.5102040816326531,0.06429792312130755,0.06760788446990622,0.0,5.15
